0077744616;4543.02;4300.07;4032.84;3717.01;3449.78;;;;;;3850.02;3644.13;3417.66;3150.01;2923.54;;;;
0077744618;3643.43;3448.6;3234.28;2980.99;2766.67;;;;;;3087.65;2922.54;2740.92;2526.26;2344.64;;;;
0077744622;2651.14;2509.36;2353.42;2169.11;2013.16;;;;;;2246.73;2126.58;1994.42;1838.23;1706.07;;;;
0077744623;3773.73;3571.93;3349.95;3087.6;2865.62;;;;;;3198.08;3027.06;2838.94;2616.61;2428.49;;;;
0077744624;5535.31;5239.31;4913.7;4528.89;4203.29;;;;;;4690.94;4440.09;4164.15;3838.04;3562.11;;;;
0077744625;6480;6133.47;5752.3;5301.82;4920.64;;;;;;5491.53;5197.86;4874.83;4493.07;4170.03;;;;
0077744626;9356.66;8856.3;8305.91;7655.45;7105.06;;;;;;7929.37;7505.34;7038.91;6487.67;6021.24;;;;
0077744627;5723.25;5417.19;5080.53;4682.66;4346;;;;;;4850.21;4590.84;4305.53;3968.36;3683.05;;;;
0077744628;5943.76;5625.91;5276.28;4863.07;4513.44;;;;;;5037.08;4767.72;4471.42;4121.25;3824.95;;;;
0077744629;9466.91;8960.66;8403.78;7745.66;7188.78;;;;;;8022.81;7593.78;7121.85;6564.12;6092.19;;;;
0077744639;37.78;26;25.52;25.36;25.05;24.41;;;20.48;;32.02;22.03;21.63;21.49;21.23;20.69;;;17.36
0077744645;74.5;80.58;80.06;79.89;79.54;78.85;79;;66.92;110275;63.14;68.29;67.85;67.7;67.41;66.82;66.95;;56.71
0077744646;79;80.58;79.6;79.27;78.61;77.3;79;;64.23;110274;66.95;68.29;67.46;67.18;66.62;65.51;66.95;;54.43
0077744647;117.25;110.98;104.08;95.93;89.03;;;;;;99.36;94.05;88.2;81.3;75.45;;;;
0077744648;2793.14;2643.78;2479.48;2285.3;2121;;;;;;2367.07;2240.49;2101.25;1936.69;1797.46;;;;
0077744650;87.58;84.75;81.36;77.97;74.58;;;;;;74.22;71.82;68.95;66.08;63.2;;;;
0077744651;28.39;26.35;24.48;23.46;22.44;;;;;;24.06;22.33;20.75;19.88;19.02;;;;
0077744652;162.21;156.98;150.89;148.85;144.79;136.67;;;98.53;;137.47;133.03;127.87;126.14;122.7;115.82;;;83.5
0077744653;757.19;732.77;703.45;674.14;644.83;;;;;;641.69;620.99;596.14;571.31;546.47;;;;
0077744654;29.9;29.9;29.5;29.37;29.1;28.57;29.9;;21.18;110855;25.34;25.34;25;24.89;24.66;24.21;25.34;;17.95
