011126292;БЛАГОДАТНАЯ 24, ООО;30
011139727;КОМПАНИЯ СТРОИТЕЛЬНО-МОНТАЖНАЯ ПЕТЕРБУРГСКАЯ, ООО;10
000036663;КОМИТЕТ ФИНАНСОВ АДМИНИСТРАЦИИ МО Г.КОММУНАР;90
011119811;БАЛТСУДОПРОЕКТ ЦНИИ ИМ. АКАД.КРЫЛОВА, ЦКБ (они же ЦЕНТР КРЫЛОВСКИЙ., , ФГУП );115
011137757;ЮВЕТЕХ, ООО;665
011172633;ВИКТОРИЯ-ТЕКС, ЗАО;150
011117501;ДЕТСКИЙ САД №21 МОСКОВСКОГО РАЙОНА, ГБДОУ;240
011138651;ПРОФЕССИОНАЛ, ООО;160
011197922;АВТОСЕРВИС-ММ, ООО;150
011137725;ХИМТОРГ, ООО (они же Росхимпром Северо-Запад);1025
011144484;ЗДОРОВЫЙ МИР, ООО (они же Ормед);612
011136519;МЕТРОЛОГИЯ ЭНЕРГОСБЕРЕЖЕНИЯ, НП ОППУ ( они же Комплектэнергоучет, Теплоэнергомонтаж ТЭМ, ЗАО);105
011186337;АВТОФОТО, ООО;1270
011123766;ТД ЛЕМОВЖА, ООО;10
011166135;КВАДРОЛОГИСТ, ООО (они же Мослогист);16515
011139380;КАРО, ООО;410
011129960;АДЕПТ, ЗАО;20620
011168468;СЕВЕРЯНКА, ООО;240
011131731;ГЛОБУС, ООО (они же ТД Владимир);230
011118150;НЕВСКИЙ ХРУСТАЛЬ, ООО;40
772174931;АРАБЕСКА ТПК, ЗАО;195
011118755;ГИДРОЦИЛИНДР, ООО;45
011115633;АРЕНА-АВТО,ООО (они же Автодрайв);25
011120620;КАФЕ ИТАЛЬЯНСКОЕ, ООО;143
011132089;ИП ШКЛЯР Д.Л. (они же Лайвтекс);897
011143247;ГИДРОСЕРВИС НПФ, ООО ( они же Гидро-сервис);150
000011460;БАЛТИК-ЭНДОМЕД, ЗАО;990
011131804;ТД ЛАЗУРИТ, ООО;3545
011157907;ИСТРА 13, ООО;180
011127553;ТРАНС-АТЛАНТИК, ООО;677
000013581;ЭЛЕМЕНТ, ООО;972
011164282;ПАРАГРАФ, ООО;270
011164431;УНИВЕРСИТЕТ ИМ.ЛОМОНОСОВА М.В. ГОСУДАРСТЕННЫЙ, ФГОУ ВПО (МОСКВА);2580
011140009;САММИТПРОДЖЕКТГРУПП, ООО (они же Саммит Прождект Групп);351
011203266;КОМПАНИЯ СТРОЙ-МАРКЕТ, ООО;705
011142551;АЭНКОМ, ЗАО;150
011138016;МЕРА-С, ООО;170
011123414;ТЕХНОЛОГИЯ И ЛОГИСТИКА, ООО;380
011124420;ПОЛИКЛИНИКА №20 СТОМАТОЛОГИЧЕСКАЯ, СПБ ГБУЗ;1515
011165230;ФОНД ТЕЛЕВИЗИОННЫХ И РАДИОПРОГРАММ, ФГБУ;2010
000009750;ПЕТВЕС, ООО;115
